No,X,Y,SiteName,SiteID,Context,SiteType,SampleID,Lab,LabID,Material,BP,Error,References
1,,,풍납토성 현대,가-2호 주거지,,주거지,-,서울대학교 기초과학공동기기원,-,Charcoal,2190,50,"국립문화재연구소, 2001, 풍납토성Ⅰ - 현대연합주택 및 1지구 재건축 부지"
2,,,풍납토성 현대,가-3호 주거지,,주거지,-,서울대학교 기초과학공동기기원,-,Charcoal,1980,50,"국립문화재연구소, 2001, 풍납토성Ⅰ - 현대연합주택 및 1지구 재건축 부지"
3,,,풍납토성 현대,가-4호 주거지,,주거지,-,서울대학교 기초과학공동기기원,-,Charcoal,1850,50,"국립문화재연구소, 2001, 풍납토성Ⅰ - 현대연합주택 및 1지구 재건축 부지"
4,,,풍납토성 현대,나-1호 주거지,,주거지,-,서울대학교 기초과학공동기기원,-,Charcoal,2030,60,"국립문화재연구소, 2001, 풍납토성Ⅰ - 현대연합주택 및 1지구 재건축 부지"
5,,,풍납토성 현대,나-3호 주거지,,주거지,-,서울대학교 기초과학공동기기원,-,Charcoal,2150,50,"국립문화재연구소, 2001, 풍납토성Ⅰ - 현대연합주택 및 1지구 재건축 부지"
6,,,풍납토성 현대,나-8호 주거지,,주거지,-,서울대학교 기초과학공동기기원,-,Charcoal,2080,60,"국립문화재연구소, 2001, 풍납토성Ⅰ - 현대연합주택 및 1지구 재건축 부지"
7,,,풍납토성 동성벽,B지점 내벽,3토루 상부,성벽,-,서울대학교 기초과학공동기기원,-,Charcoal,1820,50,"국립문화재연구소, 2002, 풍납토성Ⅱ - 동벽 발굴조사 보고서"
8,,,풍납토성 동성벽,A지점 내벽,5토루 뻘층,성벽,-,서울대학교 기초과학공동기기원,-,Charcoal,2050,50,"국립문화재연구소, 2002, 풍납토성Ⅱ - 동벽 발굴조사 보고서"
9,,,풍납토성 동성벽,B지점 내벽,6토루 석축 하부 뻘층,성벽,-,서울대학교 기초과학공동기기원,-,Charcoal,1930,50,"국립문화재연구소, 2002, 풍납토성Ⅱ - 동벽 발굴조사 보고서"
10,,,풍납토성 동성벽,북측 Tr,하부 초석(건물지),건물지,-,서울대학교 기초과학공동기기원,-,Charcoal,2050,50,"국립문화재연구소, 2002, 풍납토성Ⅱ - 동벽 발굴조사 보고서"
11,,,풍납토성 경당지구,44호 서편 구,,구상유구,-,서울대학교 기초과학공동기기원,SNU 00-120,Charcoal,1520,40,"한신대학교박물관, 2004, 풍납토성Ⅳ - 경당지구 9호 유구에 대한 발굴보고"
12,,,풍납토성 경당지구,44호 동편 구,,구상유구,-,서울대학교 기초과학공동기기원,SNU 00-121,Charcoal,1680,40,"한신대학교박물관, 2004, 풍납토성Ⅳ - 경당지구 9호 유구에 대한 발굴보고"
13,,,풍납토성 경당지구,44호 입구부,,구상유구,-,서울대학교 기초과학공동기기원,SNU 00-226,Charcoal,1780,40,"한신대학교박물관, 2004, 풍납토성Ⅳ - 경당지구 9호 유구에 대한 발굴보고"
14,,,풍납토성 경당지구,44호 서편 구,,구상유구,-,서울대학교 기초과학공동기기원,SNU 00-227,Charcoal,1900,60,"한신대학교박물관, 2004, 풍납토성Ⅳ - 경당지구 9호 유구에 대한 발굴보고"
15,,,풍납토성 외환은행,목제우물 유구 21번,,우물,-,서울대학교 기초과학공동기기원,SNU 04-809,Wood,1650,40,"국립문화재연구소, 2007, 풍납토성Ⅷ - 외환은행직원합숙소부지 · 소규모주택신축부지 · 강동빌라부지 · 대진·동산연립주택부지 -"
16,,,풍납토성 외환은행,목제우물 유구 27번,,우물,-,서울대학교 기초과학공동기기원,SNU 04-808,Wood,1660,40,"국립문화재연구소, 2007, 풍납토성Ⅷ - 외환은행직원합숙소부지 · 소규모주택신축부지 · 강동빌라부지 · 대진·동산연립주택부지 -"
