No,Code,X,Y,SiteName,FeatureName,Context,SiteType,SampleID,Lab,LabID,Material,BP,Error,灌13C,References,ETC
1,PNTS-1,210309,548074,Pungnaptoseong Hyundai,Dwelling Ga-2,-,Dwelling,-,Seoul National University,-,Charcoal,2190,50,-,"National Research Institute of Cultural Heritage, 2001, Pungnaptoseong ",-
2,PNTS-2,210294,548055,Pungnaptoseong Hyundai,Dwelling Ga-3,-,Dwelling,-,Seoul National University,-,Charcoal,1980,50,-,"National Research Institute of Cultural Heritage, 2001, Pungnaptoseong ",-
3,PNTS-3,210293,548043,Pungnaptoseong Hyundai,Dwelling Ga-4,-,Dwelling,-,Seoul National University,-,Charcoal,1850,50,-,"National Research Institute of Cultural Heritage, 2001, Pungnaptoseong ",-
4,PNTS-4,210228,547933,Pungnaptoseong Hyundai,Dwelling Na-1,-,Dwelling,-,Seoul National University,-,Charcoal,2030,60,-,"National Research Institute of Cultural Heritage, 2001, Pungnaptoseong ",-
5,PNTS-5,210249,547944,Pungnaptoseong Hyundai,Dwelling Na-3,-,Dwelling,-,Seoul National University,-,Charcoal,2150,50,-,"National Research Institute of Cultural Heritage, 2001, Pungnaptoseong ",-
6,PNTS-6,210247,547929,Pungnaptoseong Hyundai,Dwelling Na-8,-,Dwelling,-,Seoul National University,-,Charcoal,2080,60,-,"National Research Institute of Cultural Heritage, 2001, Pungnaptoseong ",-
7,PNTS-7,210270,547883,Pungnaptoseong East Rampart(1st),Inner Rampart of Point B,Upper Section of Rampart No. 3,Rampart,-,Seoul National University,-,Charcoal,1820,50,-,"National Research Institute of Cultural Heritage, 2002, Pungnaptoseong ",-
8,PNTS-8,210381,547988,Pungnaptoseong East Rampart(1st),Inner Rampart of Point A,Muddy Layer of Rampart No. 5,Rampart,-,Seoul National University,-,Charcoal,2050,50,-,"National Research Institute of Cultural Heritage, 2002, Pungnaptoseong ",-
9,PNTS-9,210262,547890,Pungnaptoseong East Rampart(1st),Inner Rampart of Point B,Lower Muddy Layer of Rampart No. 6 Stone Structure,Rampart,-,Seoul National University,-,Charcoal,1930,50,-,"National Research Institute of Cultural Heritage, 2002, Pungnaptoseong ",-
10,PNTS-10,-,-,Pungnaptoseong East Rampart(1st),Northern Trench,Foundation Stone at the Base of Building,Building,-,Seoul National University,-,Charcoal,2050,50,-,"National Research Institute of Cultural Heritage, 2002, Pungnaptoseong ",Inaccurate location
11,PNTS-11,210356,548562,Pungnaptoseong Gyeongdang,Western Ditch of No. 44,-,Ditch,-,Seoul National University,SNU 00-120,Charcoal,1520,40,-26,"Hanshin University Museum, 2004, Pungnaptoseong ",-
12,PNTS-12,210356,548562,Pungnaptoseong Gyeongdang,Eastern Ditch of No. 44,-,Ditch,-,Seoul National University,SNU 00-121,Charcoal,1680,40,-27,"Hanshin University Museum, 2004, Pungnaptoseong ",-
13,PNTS-13,210356,548562,Pungnaptoseong Gyeongdang,Entrance of No. 44,-,Ditch,-,Seoul National University,SNU 00-226,Charcoal,1780,40,-24.5,"Hanshin University Museum, 2004, Pungnaptoseong ",-
14,PNTS-14,210356,548562,Pungnaptoseong Gyeongdang,Western Ditch of No. 44,-,Ditch,-,Seoul National University,SNU 00-227,Charcoal,1900,60,-24,"Hanshin University Museum, 2004, Pungnaptoseong ",-
15,PNTS-15,210322,547836,Pungnaptoseong KEB dormitory,Wood fragment No. 21 of Wooden Well,-,Well,-,Seoul National University,SNU 04-809,Wood,1650,40,-29.11,"National Research Institute of Cultural Heritage, 2007, Pungnaptoseong ",-
16,PNTS-16,210322,547836,Pungnaptoseong KEB dormitory,Wood fragment No. 27 of Wooden Well,-,Well,-,Seoul National University,SNU 04-808,Wood,1660,40,-31.17,"National Research Institute of Cultural Heritage, 2007, Pungnaptoseong ",-
17,PNTS-17,210030,548490,Pungnaptoseong Mirae,Dwelling Ga-1,-,Dwelling,-,Seoul National University,SNU 07-160,Charcoal,1700,50,-29.43,"National Research Institute of Cultural Heritage, 2009, Pungnaptoseong ?",-
18,PNTS-18,210049,548496,Pungnaptoseong Mirae,Dwelling Ga-2,,Dwelling,-,Seoul National University,SNU 07-163,Charcoal,1990,60,-49.08,"National Research Institute of Cultural Heritage, 2009, Pungnaptoseong ?",-
19,PNTS-19,210049,548496,Pungnaptoseong Mirae,Dwelling Ga-2,,Dwelling,-,Seoul National University,SNU 07-164,Charcoal,1470,50,-13.85,"National Research Institute of Cultural Heritage, 2009, Pungnaptoseong ?",-
20,PNTS-20,210034,548491,Pungnaptoseong Mirae,Dwelling Ga-3,,Dwelling,-,Seoul National University,SNU 07-161,Charcoal,1710,50,-26.99,"National Research Institute of Cultural Heritage, 2009, Pungnaptoseong ?",-
21,PNTS-21,210034,548491,Pungnaptoseong Mirae,Dwelling Ga-3,,Dwelling,-,Seoul National University,SNU 07-162,Charcoal,1650,60,-27.28,"National Research Institute of Cultural Heritage, 2009, Pungnaptoseong ?",-
22,PNTS-22,210025,548459,Pungnaptoseong Mirae,Dwelling Ga-6,,Dwelling,-,Seoul National University,SNU 07-167,Charcoal,2070,80,-59.7,"National Research Institute of Cultural Heritage, 2009, Pungnaptoseong ?",-
23,PNTS-23,210025,548459,Pungnaptoseong Mirae,Dwelling Ga-6,,Dwelling,-,Seoul National University,SNU 07-168,Charcoal,1690,50,-26.21,"National Research Institute of Cultural Heritage, 2009, Pungnaptoseong ?",-
24,PNTS-24,210021,548459,Pungnaptoseong Mirae,Pit Ga-1,Layer No. 3 of s63.5w9,Pit,-,Seoul National University,SNU 07-158,Charcoal,1860,50,-20.78,"National Research Institute of Cultural Heritage, 2009, Pungnaptoseong ?",-
25,PNTS-25,210020,548456,Pungnaptoseong Mirae,Pit Ga-1,Lower Layer Ditch of Points A and B,Ditch,-,Seoul National University,SNU 07-159,Charcoal,1670,50,-27.55,"National Research Institute of Cultural Heritage, 2009, Pungnaptoseong ?",-
26,PNTS-26,210053,548453,Pungnaptoseong Mirae,Pit Building Site Ga-30,-,Building,-,Seoul National University,SNU 08-295,Charcoal,1660,50,-27.19,"National Research Institute of Cultural Heritage, 2009, Pungnaptoseong ?",-
27,PNTS-27,210034,548510,Pungnaptoseong Mirae,Pit Ga-48,-,Pit,-,Seoul National University,SNU 07-166,Charcoal,1790,50,-25.89,"National Research Institute of Cultural Heritage, 2009, Pungnaptoseong ?",-
28,PNTS-28,210029,548458,Pungnaptoseong Mirae,Pit Ga-59,-,Pit,-,Seoul National University,SNU  07-165,Charcoal,1640,50,-10.08,"National Research Institute of Cultural Heritage, 2009, Pungnaptoseong ?",-
29,PNTS-29,210045,548457,Pungnaptoseong Mirae,Pit Ga-79,Charcoal Layer,Pit,-,Seoul National University,SNU 08-292,Charcoal,1710,60,-49.46,"National Research Institute of Cultural Heritage, 2009, Pungnaptoseong ?",-
30,PNTS-30,210103,548518,Pungnaptoseong Mirae,Dwelling Na-3,-,Dwelling,-,Seoul National University,SNU 08-297,Charcoal,1700,50,-28.05,"National Research Institute of Cultural Heritage, 2012, Pungnaptoseong ⒱_",-
31,PNTS-31,210043,548528,Pungnaptoseong Mirae,Dwelling Na-6,-,Dwelling,-,Seoul National University,SNU 08-294,Charcoal,1610,50,-32.88,"National Research Institute of Cultural Heritage, 2012, Pungnaptoseong ⒱_",-
32,PNTS-32,210043,548528,Pungnaptoseong Mirae,Dwelling Na-6,Interior of clay stove,Dwelling,-,Seoul National University,SNU 10-521,Charcoal,1670,40,-19.72,"National Research Institute of Cultural Heritage, 2012, Pungnaptoseong ⒱_",-
33,PNTS-33,210113,548530,Pungnaptoseong Mirae,Dwelling Na-7,-,Dwelling,-,Seoul National University,SNU 08-296,Charcoal,1750,50,-29.1,"National Research Institute of Cultural Heritage, 2012, Pungnaptoseong ⒱_",-
34,PNTS-34,210113,548530,Pungnaptoseong Mirae,Dwelling Na-7,-,Dwelling,-,Seoul National University,SNU 10-520,Charcoal,2940,50,-23.95,Unreported,-
35,PNTS-35,210050,548540,Pungnaptoseong Mirae,Dwelling Na-8,-,Dwelling,-,Seoul National University,SNU 08-302,Charcoal,1960,50,-27.06,"National Research Institute of Cultural Heritage, 2012, Pungnaptoseong ⒱_",-
36,PNTS-36,210059,548550,Pungnaptoseong Mirae,Dwelling Na-10,-,Dwelling,-,Seoul National University,SNU 10-522,Charcoal,1960,40,-18.86,"National Research Institute of Cultural Heritage, 2012, Pungnaptoseong ⒱_",-
37,PNTS-37,210059,548550,Pungnaptoseong Mirae,Dwelling Na-10,Lower Section of Iron Sickle,Dwelling,-,Seoul National University,SNU 10-525,Charcoal,1750,40,-26.61,"National Research Institute of Cultural Heritage, 2012, Pungnaptoseong ⒱_",-
38,PNTS-38,210059,548550,Pungnaptoseong Mirae,Dwelling Na-10,Horizontal Timber,Dwelling,-,Seoul National University,SNU 10-526,Charcoal,1780,60,-21.45,"National Research Institute of Cultural Heritage, 2012, Pungnaptoseong ⒱_",-
39,PNTS-39,210059,548550,Pungnaptoseong Mirae,Dwelling Na-10,Wooden Pile at the Eastern Corner,Dwelling,-,Seoul National University,SNU 10-527,Charcoal,1720,40,-40.4,"National Research Institute of Cultural Heritage, 2012, Pungnaptoseong ⒱_",-
